year,month,local_avg_temp_C,local_avg_humidity,local_avg_wind_speed,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,disease_class
2013,1,24.7625,72.291667,1.920833,3.685,9.255,-1.7260000000000002,1.0
2013,1,24.7625,72.291667,1.920833,3.685,9.255,-1.7260000000000002,1.0
2013,1,24.7625,72.291667,1.920833,3.685,9.255,-1.7260000000000002,5.0
2013,1,24.7625,72.291667,1.920833,3.685,9.255,-1.7260000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,8.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,8.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,1.0
2013,2,24.329167,85.666667,1.120833,4.222,9.95,-1.4720000000000002,5.0
2013,3,21.65,88.875,0.979167,6.261,12.328,0.174,1.0
2013,3,21.65,88.875,0.979167,6.261,12.328,0.174,1.0
2013,3,21.65,88.875,0.979167,6.261,12.328,0.174,5.0
2013,3,21.65,88.875,0.979167,6.261,12.328,0.174,1.0
