City,Country,Month,Year,Humidity_Max,Humidity_Min,Temperature_Max,Temperature_Min,COVID-19,COVID-19_Advice,COVID-19_Symptoms,Dengue,Dengue_Advice,Dengue_Symptoms,Influenza,Influenza_Advice,Influenza_Symptoms,Malaria,Malaria_Advice,Malaria_Symptoms,Cholera,Cholera_Symptoms,Cholera_Advice,Tuberculosis,Tuberculosis_Advice,Tuberculosis_Symptoms,Asthma,Asthma_Symptoms,Asthma_Advice,Leptospirosis,Leptospirosis_Symptoms,Leptospirosis_Advice,Typhoid,Typhoid_Symptoms,Typhoid_Advice,Chickenpox,Chickenpox_Symptoms,Chickenpox_Advice,Pneumonia,Pneumonia_Symptoms,Pneumonia_Advice,Norovirus,Norovirus_Symptoms,Norovirus_Advice,Bronchitis,Bronchitis_Symptoms,Bronchitis_Advice,Hepatitis_A,Hepatitis_A_Symptoms,Hepatitis_A_Advice,Gastroenteritis,Gastroenteritis_Symptoms,Gastroenteritis_Advice,Hepatitis_E,Hepatitis_E_Symptoms,Hepatitis_E_Advice,Hay_Fever,Hay_Fever_Symptoms,Hay_Fever_Advice,Common_Cold,Common_Cold_Symptoms,Common_Cold_Advice,Allergic_Reactions,Allergic_Reactions_Symptoms,Allergic_Reactions_Advice,Hypothermia,Hypothermia_Symptoms,Hypothermia_Advice,Chikungunya,Chikungunya_Symptoms,Chikungunya_Advice
New York,USA,1,2010,74,56,7,-11,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Fatigue, Dry Cough, Loss of Taste",17,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Skin Rash, Joint Pain, High Fever",95,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Sore Throat, Runny Nose",21,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Sweating, Nausea",35,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",34,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Cough, Chest Pain",32,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",11,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",37,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",32,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",32,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",75,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,95,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,2,2010,78,54,10,-9,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Shortness of Breath, Dry Cough",11,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Joint Pain, Severe Headache, Skin Rash",50,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Muscle Pain, Runny Nose",25,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Nausea, Headache",37,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",32,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Fatigue, Cough, Chest Pain",23,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",30,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",38,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",35,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",90,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",90,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,90,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,3,2010,84,52,14,2,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Loss of Taste, Fever",16,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Joint Pain, High Fever, Bleeding Gums",34,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Fever, Fatigue",34,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Sweating, Headache",27,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",36,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Fatigue, Cough",26,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",13,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",25,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",32,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",90,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",90,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",90,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,4,2010,78,52,15,5,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Loss of Taste, Shortness of Breath, Fever",90,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Severe Headache, Skin Rash, Bleeding Gums",43,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Muscle Pain, Fatigue",60,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Sweating, Headache, Chills",36,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",30,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Chest Pain, Night Sweats, Cough",90,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",28,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",90,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",35,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",60,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,5,2010,76,52,19,11,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Dry Cough, Fatigue",50,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Bleeding Gums, Severe Headache, Joint Pain",32,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Fatigue, Fever, Muscle Pain",54,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Sweating, Fever",38,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",32,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Chest Pain, Weight Loss, Fatigue",27,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",37,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",85,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",56,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",24,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",85,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",80,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,6,2010,76,52,19,11,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Fatigue, Loss of Taste",54,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Severe Headache, High Fever",32,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Sore Throat, Muscle Pain",54,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Fever, Chills, Sweating",15,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",32,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Chest Pain, Night Sweats",37,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",37,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",14,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",60,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",24,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",85,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",90,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",87,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,7,2010,86,64,27,18,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Dry Cough, Shortness of Breath",85,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Joint Pain, High Fever",26,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Fatigue, Fever, Sore Throat",85,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Chills, Headache",38,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",37,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Weight Loss, Chest Pain",15,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",20,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",41,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",23,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",22,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",90,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,8,2010,86,64,27,18,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Shortness of Breath, Dry Cough",85,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","High Fever, Joint Pain",26,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Sore Throat, Fatigue",48,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Headache, Sweating, Chills",25,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",37,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Chest Pain, Cough",80,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",86,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",32,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",33,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",8,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,9,2010,85,56,23,16,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Shortness of Breath, Fever",45,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Skin Rash, Severe Headache, Joint Pain",43,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Fatigue, Runny Nose, Fever",45,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Sweating, Headache",51,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",32,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Cough, Fatigue",80,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",78,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",23,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",37,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",20,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",25,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",85,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
New York,USA,10,2010,80,56,19,10,1,"Stay up to date with vaccines, wear masks in crowded places, and isolate if sick.","Loss of Taste, Fever, Fatigue",32,"Wear long sleeves, use mosquito repellents, and avoid areas with dengue outbreaks.","Joint Pain, Bleeding Gums, Severe Headache",90,"Get vaccinated, wash hands regularly, and avoid close contact during flu season.","Fever, Fatigue",43,"Use mosquito nets, remove stagnant water, and take antimalarial meds in risk areas.","Chills, Sweating",52,"Severe Diarrhea, Dehydration, Nausea","Drink clean water, maintain proper sanitation, and seek medical help immediately if symptoms appear.",51,"Cover mouth when coughing, get tested early, and complete antibiotic treatment.","Night Sweats, Cough, Weight Loss",28,"Wheezing, Shortness of Breath, Chest Tightness","Avoid allergens, use prescribed inhalers, and monitor air quality.",32,"Fever, Muscle Pain, Vomiting","Avoid contact with contaminated water, wear protective clothing, and maintain hygiene.",29,"Prolonged Fever, Weakness, Abdominal Pain","Drink clean water, eat properly cooked food, and maintain sanitation.",62,"Itchy Rash, Fever, Tiredness","Stay isolated, avoid scratching, and use calamine lotion for relief.",91,"Cough with Phlegm, Fever, Difficulty Breathing","Seek medical attention, take prescribed antibiotics, and rest adequately.",92,"Sudden vomiting, diarrhea, stomach cramps","Disinfect surfaces, avoid contaminated food, hydrate well",25,"Persistent cough (with mucus), wheezing, mild fever","Avoid smoking, wear a scarf in cold air, rest",35,"Jaundice, fatigue, nausea",Avoid contaminated water/food,35,"Diarrhea, vomiting, dehydration","ORS, avoid raw food, boil water",35,"Jaundice, dark urine, fatigue","Drink clean water, avoid street food",35,"Sneezing, runny nose, itchy eyes","Pollen forecasts, nasal sprays",35,"Runny nose, sore throat, sneezing","Dress warmly, drink warm fluids",35,"Swelling, redness, anaphylaxis (rare)",Carry epi-pen if allergic,35,"Confusion, shivering, drowsiness","Warm clothing, heated homes",35,"Fever, joint pain (severe), rash","Pain relievers (avoid aspirin), rest"
